#[0-9]	193	280
/	1273	592
[	1443	384
]	1461	486
Alt	468	700
BackQuote	1336	384
Backspace	1584	280
Ctrl	110	700
Delete	1686	376
DoubleShift	146	592
Down	1787	696
Enter	1443	384
Esc	86	166
F1	310	166
F2	417	166
F3	524	166
F4	631	166
F5	780	166
F6	887	166
F7	994	166
F8	1101	166
F9	1250	166
F10	1357	166
F11	1464	166
F12	1571	166
Home	1793	272
Insert	1686	272
Left	1680	696
Right	1894	696
Shift	146	592
Space	852	700
Tab	134	384
Up	1787	592
A	284	486
B	738	592
C	524	592
D	498	486
E	480	384
F	605	486
G	712	486
H	819	486
I	1015	384
J	926	486
K	1033	486
L	1140	486
M	952	592
N	845	592
O	1122	384
P	1229	384
Q	266	384
R	587	384
S	391	486
T	694	384
U	908	384
V	631	592
W	373	384
X	417	592
Y	801	384
Z	310	592
